时间/h,全域最大水分浓度/(kg/kg),中心水分浓度/(kg/kg),表面水分浓度/(kg/kg)
0.00000000,2.55000000,2.55000000,2.55000000
0.01666667,2.55000000,2.55000000,2.32709025
0.03333333,2.55000000,2.55000000,2.24210071
0.05000000,2.55000000,2.55000000,2.17984252
0.06666667,2.55000000,2.55000000,2.12929087
0.08333333,2.55000000,2.55000000,2.08636031
0.10000000,2.55000000,2.55000000,2.04887883
0.11666667,2.55000000,2.55000000,2.01546586
0.13333333,2.55000000,2.55000000,1.98522854
0.15000000,2.55000000,2.55000000,1.95764491
0.16666667,2.55000000,2.55000000,1.93233626
0.18333333,2.55000000,2.55000000,1.90899518
0.20000000,2.55000000,2.55000000,1.88732437
0.21666667,2.55000000,2.55000000,1.86709247
0.23333333,2.55000000,2.55000000,1.84812618
0.25000000,2.55000000,2.55000000,1.83024313
0.26666667,2.55000000,2.55000000,1.81341090
0.28333333,2.54999999,2.54999999,1.79749318
0.30000000,2.54999996,2.54999996,1.78248804
0.31666667,2.54999989,2.54999989,1.76831032
0.33333333,2.54999974,2.54999974,1.75483949
0.35000000,2.54999944,2.54999944,1.74197203
0.36666667,2.54999887,2.54999887,1.72973975
0.38333333,2.54999783,2.54999783,1.71813532
0.40000000,2.54999604,2.54999604,1.70699886
0.41666667,2.54999310,2.54999310,1.69625129
0.43333333,2.54998844,2.54998844,1.68592691
0.45000000,2.54998132,2.54998132,1.67600306
0.46666667,2.54997075,2.54997075,1.66644031
0.48333333,2.54995550,2.54995550,1.65732870
0.50000000,2.54993405,2.54993405,1.64861879
0.51666667,2.54990454,2.54990454,1.64024535
0.53333333,2.54986477,2.54986477,1.63210853
0.55000000,2.54981219,2.54981219,1.62418114
0.56666667,2.54974381,2.54974381,1.61652752
0.58333333,2.54965629,2.54965629,1.60909201
0.60000000,2.54954586,2.54954586,1.60185318
0.61666667,2.54940838,2.54940838,1.59487658
0.63333333,2.54923931,2.54923931,1.58810406
0.65000000,2.54903376,2.54903376,1.58152649
0.66666667,2.54878651,2.54878651,1.57514549
0.68333333,2.54849201,2.54849201,1.56895028
0.70000000,2.54814446,2.54814446,1.56292998
0.71666667,2.54773778,2.54773778,1.55699156
0.73333333,2.54726572,2.54726572,1.55120699
0.75000000,2.54672186,2.54672186,1.54559114
0.76666667,2.54609970,2.54609970,1.54004215
0.78333333,2.54539269,2.54539269,1.53455367
0.80000000,2.54459428,2.54459428,1.52920228
0.81666667,2.54369799,2.54369799,1.52394179
0.83333333,2.54269746,2.54269746,1.51870956
0.85000000,2.54158654,2.54158654,1.51357330
0.86666667,2.54035927,2.54035927,1.50857757
0.88333333,2.53900999,2.53900999,1.50373497
0.90000000,2.53753333,2.53753333,1.49894704
0.91666667,2.53592424,2.53592424,1.49423143
0.93333333,2.53417788,2.53417788,1.48953894
0.95000000,2.53228977,2.53228977,1.48488256
0.96666667,2.53025584,2.53025584,1.48024336
0.98333333,2.52807247,2.52807247,1.47561773
1.00000000,2.52573656,2.52573656,1.47109381
1.01666667,2.52324553,2.52324553,1.46665722
1.03333333,2.52059733,2.52059733,1.46225033
1.05000000,2.51779030,2.51779030,1.45791793
1.06666667,2.51482312,2.51482312,1.45361353
1.08333333,2.51169489,2.51169489,1.44931539
1.10000000,2.50840511,2.50840511,1.44504863
1.11666667,2.50495368,2.50495368,1.44077698
1.13333333,2.50134099,2.50134099,1.43647973
1.15000000,2.49756789,2.49756789,1.43224237
1.16666667,2.49363573,2.49363573,1.42804683
1.18333333,2.48954636,2.48954636,1.42386803
1.20000000,2.48530196,2.48530196,1.41977995
1.21666667,2.48090494,2.48090494,1.41568306
1.23333333,2.47635788,2.47635788,1.41152415
1.25000000,2.47166347,2.47166347,1.40739760
1.26666667,2.46682476,2.46682476,1.40331890
1.28333333,2.46184523,2.46184523,1.39928395
1.30000000,2.45672862,2.45672862,1.39529567
1.31666667,2.45147872,2.45147872,1.39132641
1.33333333,2.44609923,2.44609923,1.38735978
1.35000000,2.44059388,2.44059388,1.38336055
1.36666667,2.43496644,2.43496644,1.37939607
1.38333333,2.42922085,2.42922085,1.37541896
1.40000000,2.42336127,2.42336127,1.37137252
1.41666667,2.41739198,2.41739198,1.36733856
1.43333333,2.41131755,2.41131755,1.36338096
1.45000000,2.40514285,2.40514285,1.35946030
1.46666667,2.39887271,2.39887271,1.35548150
1.48333333,2.39251156,2.39251156,1.35152881
1.50000000,2.38606363,2.38606363,1.34756756
1.51666667,2.37953325,2.37953325,1.34364439
1.53333333,2.37292478,2.37292478,1.33975243
1.55000000,2.36624250,2.36624250,1.33581506
1.56666667,2.35949047,2.35949047,1.33187977
1.58333333,2.35267263,2.35267263,1.32796538
1.60000000,2.34579298,2.34579298,1.32406897
1.61666667,2.33885551,2.33885551,1.32011209
1.63333333,2.33186404,2.33186404,1.31615976
1.65000000,2.32482236,2.32482236,1.31228010
1.66666667,2.31773440,2.31773440,1.30848082
1.68333333,2.31060400,2.31060400,1.30464627
1.70000000,2.30343430,2.30343430,1.30074343
1.71666667,2.29622800,2.29622800,1.29687888
1.73333333,2.28898790,2.28898790,1.29305729
1.75000000,2.28171713,2.28171713,1.28921164
1.76666667,2.27441863,2.27441863,1.28532073
1.78333333,2.26709508,2.26709508,1.28140325
1.80000000,2.25974926,2.25974926,1.27745428
1.81666667,2.25238413,2.25238413,1.27358457
1.83333333,2.24500286,2.24500286,1.26973217
1.85000000,2.23760853,2.23760853,1.26582553
1.86666667,2.23020367,2.23020367,1.26191394
1.88333333,2.22279054,2.22279054,1.25803736
1.90000000,2.21537157,2.21537157,1.25414895
1.91666667,2.20794917,2.20794917,1.25029714
1.93333333,2.20052545,2.20052545,1.24649092
1.95000000,2.19310235,2.19310235,1.24266007
1.96666667,2.18568146,2.18568146,1.23880235
1.98333333,2.17826404,2.17826404,1.23494938
2.00000000,2.17085145,2.17085145,1.23109265
2.01666667,2.16344526,2.16344526,1.22724045
2.03333333,2.15604707,2.15604707,1.22334838
2.05000000,2.14865835,2.14865835,1.21946064
2.06666667,2.14128059,2.14128059,1.21556688
2.08333333,2.13391546,2.13391546,1.21169504
2.10000000,2.12656465,2.12656465,1.20784606
2.11666667,2.11922975,2.11922975,1.20396053
2.13333333,2.11191201,2.11191201,1.20007569
2.15000000,2.10461250,2.10461250,1.19623381
2.16666667,2.09733232,2.09733232,1.19238256
2.18333333,2.09007255,2.09007255,1.18857022
2.20000000,2.08283393,2.08283393,1.18478814
2.21666667,2.07561701,2.07561701,1.18095402
2.23333333,2.06842203,2.06842203,1.17712861
2.25000000,2.06124921,2.06124921,1.17329604
2.26666667,2.05409907,2.05409907,1.16949292
2.28333333,2.04697226,2.04697226,1.16572047
2.30000000,2.03986955,2.03986955,1.16194578
2.31666667,2.03279130,2.03279130,1.15813307
2.33333333,2.02573773,2.02573773,1.15431499
2.35000000,2.01870911,2.01870911,1.15053211
2.36666667,2.01170605,2.01170605,1.14678263
2.38333333,2.00472919,2.00472919,1.14303595
2.40000000,1.99777884,1.99777884,1.13927028
2.41666667,1.99085496,1.99085496,1.13547985
2.43333333,1.98395758,1.98395758,1.13169075
2.45000000,1.97708707,1.97708707,1.12791282
2.46666667,1.97024397,1.97024397,1.12416579
2.48333333,1.96342883,1.96342883,1.12038009
2.50000000,1.95664191,1.95664191,1.11664752
2.51666667,1.94988348,1.94988348,1.11300252
2.53333333,1.94315381,1.94315381,1.10929553
2.55000000,1.93645272,1.93645272,1.10555407
2.56666667,1.92977974,1.92977974,1.10182595
2.58333333,1.92313481,1.92313481,1.09812822
2.60000000,1.91651813,1.91651813,1.09443150
2.61666667,1.90992998,1.90992998,1.09074467
2.63333333,1.90337045,1.90337045,1.08709810
2.65000000,1.89683954,1.89683954,1.08345841
2.66666667,1.89033708,1.89033708,1.07978542
2.68333333,1.88386274,1.88386274,1.07613453
2.70000000,1.87741632,1.87741632,1.07247640
2.71666667,1.87099790,1.87099790,1.06878069
2.73333333,1.86460753,1.86460753,1.06512466
2.75000000,1.85824542,1.85824542,1.06148276
2.76666667,1.85191198,1.85191198,1.05788481
2.78333333,1.84560736,1.84560736,1.05430754
2.80000000,1.83933141,1.83933141,1.05071175
2.81666667,1.83308368,1.83308368,1.04713268
2.83333333,1.82686370,1.82686370,1.04354993
2.85000000,1.82067127,1.82067127,1.03993329
2.86666667,1.81450620,1.81450620,1.03634402
2.88333333,1.80836852,1.80836852,1.03278095
2.90000000,1.80225838,1.80225838,1.02921613
2.91666667,1.79617586,1.79617586,1.02559632
2.93333333,1.79012084,1.79012084,1.02202980
2.95000000,1.78409336,1.78409336,1.01853105
2.96666667,1.77809374,1.77809374,1.01508051
2.98333333,1.77212195,1.77212195,1.01160676
3.00000000,1.76617736,1.76617736,1.00812304
3.01666667,1.76025921,1.76025921,1.00465825
3.03333333,1.75436694,1.75436694,1.00117591
3.05000000,1.74850015,1.74850015,0.99767475
3.06666667,1.74265861,1.74265861,0.99421184
3.08333333,1.73684240,1.73684240,0.99076552
3.10000000,1.73105183,1.73105183,0.98730952
3.11666667,1.72528694,1.72528694,0.98380632
3.13333333,1.71954768,1.71954768,0.98036636
3.15000000,1.71383417,1.71383417,0.97694781
3.16666667,1.70814669,1.70814669,0.97354905
3.18333333,1.70248523,1.70248523,0.97014801
3.20000000,1.69684957,1.69684957,0.96670225
3.21666667,1.69123941,1.69123941,0.96330043
3.23333333,1.68565463,1.68565463,0.95991015
3.25000000,1.68009533,1.68009533,0.95648690
3.26666667,1.67456135,1.67456135,0.95312205
3.28333333,1.66905263,1.66905263,0.94982077
3.30000000,1.66356919,1.66356919,0.94648524
3.31666667,1.65811074,1.65811074,0.94312545
3.33333333,1.65267676,1.65267676,0.93980641
3.35000000,1.64726706,1.64726706,0.93655551
3.36666667,1.64188159,1.64188159,0.93327470
3.38333333,1.63651995,1.63651995,0.92994484
3.40000000,1.63118157,1.63118157,0.92660927
3.41666667,1.62586622,1.62586622,0.92330318
3.43333333,1.62057419,1.62057419,0.92000651
3.45000000,1.61530591,1.61530591,0.91674217
3.46666667,1.61006165,1.61006165,0.91349769
3.48333333,1.60484135,1.60484135,0.91024245
3.50000000,1.59964470,1.59964470,0.90705742
3.51666667,1.59447139,1.59447139,0.90387807
3.53333333,1.58932109,1.58932109,0.90065444
3.55000000,1.58419328,1.58419328,0.89746296
3.56666667,1.57908760,1.57908760,0.89432001
3.58333333,1.57400386,1.57400386,0.89119748
3.60000000,1.56894178,1.56894178,0.88802459
3.61666667,1.56390091,1.56390091,0.88482925
3.63333333,1.55888102,1.55888102,0.88170673
3.65000000,1.55388229,1.55388229,0.87860319
3.66666667,1.54890492,1.54890492,0.87545514
3.68333333,1.54394874,1.54394874,0.87234902
3.70000000,1.53901351,1.53901351,0.86926405
3.71666667,1.53409923,1.53409923,0.86622458
3.73333333,1.52920576,1.52920576,0.86316528
3.75000000,1.52433276,1.52433276,0.86011602
3.76666667,1.51947978,1.51947978,0.85705933
3.78333333,1.51464664,1.51464664,0.85397513
3.80000000,1.50983324,1.50983324,0.85095527
3.81666667,1.50503971,1.50503971,0.84791084
3.83333333,1.50026614,1.50026614,0.84484916
3.85000000,1.49551246,1.49551246,0.84181757
3.86666667,1.49077881,1.49077881,0.83885601
3.88333333,1.48606537,1.48606537,0.83591280
3.90000000,1.48137198,1.48137198,0.83297611
3.91666667,1.47669809,1.47669809,0.83006121
3.93333333,1.47204316,1.47204316,0.82712449
3.95000000,1.46740669,1.46740669,0.82419893
3.96666667,1.46278840,1.46278840,0.82124273
3.98333333,1.45818823,1.45818823,0.81825849
4.00000000,1.45360630,1.45360630,0.81534611
4.01666667,1.44904300,1.44904300,0.81245336
4.03333333,1.44449868,1.44449868,0.80956604
4.05000000,1.43997329,1.43997329,0.80668806
4.06666667,1.43546663,1.43546663,0.80381976
4.08333333,1.43097850,1.43097850,0.80096126
4.10000000,1.42650872,1.42650872,0.79811262
4.11666667,1.42205717,1.42205717,0.79527387
4.13333333,1.41762371,1.41762371,0.79244501
4.15000000,1.41320823,1.41320823,0.78962607
4.16666667,1.40881062,1.40881062,0.78681705
4.18333333,1.40443078,1.40443078,0.78401794
4.20000000,1.40006862,1.40006862,0.78122873
4.21666667,1.39572404,1.39572404,0.77844941
4.23333333,1.39139694,1.39139694,0.77567996
4.25000000,1.38708723,1.38708723,0.77292038
4.26666667,1.38279483,1.38279483,0.77017064
4.28333333,1.37851965,1.37851965,0.76743072
4.30000000,1.37426159,1.37426159,0.76470061
4.31666667,1.37002057,1.37002057,0.76198027
4.33333333,1.36579650,1.36579650,0.75926969
4.35000000,1.36158930,1.36158930,0.75656884
4.36666667,1.35739888,1.35739888,0.75387770
4.38333333,1.35322515,1.35322515,0.75119625
4.40000000,1.34906805,1.34906805,0.74852446
4.41666667,1.34492747,1.34492747,0.74586231
4.43333333,1.34080334,1.34080334,0.74320976
4.45000000,1.33669559,1.33669559,0.74056681
4.46666667,1.33260412,1.33260412,0.73793341
4.48333333,1.32852886,1.32852886,0.73530955
4.50000000,1.32446973,1.32446973,0.73269519
4.51666667,1.32042667,1.32042667,0.73009031
4.53333333,1.31639958,1.31639958,0.72749489
4.55000000,1.31238838,1.31238838,0.72490890
4.56666667,1.30839300,1.30839300,0.72233231
4.58333333,1.30441338,1.30441338,0.71976509
4.60000000,1.30044944,1.30044944,0.71720721
4.61666667,1.29650109,1.29650109,0.71465866
4.63333333,1.29256826,1.29256826,0.71211939
4.65000000,1.28865088,1.28865088,0.70958939
4.66666667,1.28474889,1.28474889,0.70706863
4.68333333,1.28086222,1.28086222,0.70455707
4.70000000,1.27699078,1.27699078,0.70205469
4.71666667,1.27313451,1.27313451,0.69956146
4.73333333,1.26929332,1.26929332,0.69707736
4.75000000,1.26546718,1.26546718,0.69460235
4.76666667,1.26165600,1.26165600,0.69213640
4.78333333,1.25785971,1.25785971,0.68967949
4.80000000,1.25407826,1.25407826,0.68723159
4.81666667,1.25031156,1.25031156,0.68479267
4.83333333,1.24655956,1.24655956,0.68236270
4.85000000,1.24282219,1.24282219,0.67994165
4.86666667,1.23909938,1.23909938,0.67752949
4.88333333,1.23539108,1.23539108,0.67512620
4.90000000,1.23169721,1.23169721,0.67273174
4.91666667,1.22801771,1.22801771,0.67034609
4.93333333,1.22435252,1.22435252,0.66796921
4.95000000,1.22070158,1.22070158,0.66560109
4.96666667,1.21706482,1.21706482,0.66324168
4.98333333,1.21344219,1.21344219,0.66089096
5.00000000,1.20983362,1.20983362,0.65854890
5.01666667,1.20623905,1.20623905,0.65621548
5.03333333,1.20265842,1.20265842,0.65389066
5.05000000,1.19909168,1.19909168,0.65157441
5.06666667,1.19553876,1.19553876,0.64926670
5.08333333,1.19199960,1.19199960,0.64696751
5.10000000,1.18847415,1.18847415,0.64467681
5.11666667,1.18496234,1.18496234,0.64239457
5.13333333,1.18146412,1.18146412,0.64012075
5.15000000,1.17797943,1.17797943,0.63785533
5.16666667,1.17450822,1.17450822,0.63559829
5.18333333,1.17105042,1.17105042,0.63334958
5.20000000,1.16760598,1.16760598,0.63110919
5.21666667,1.16417485,1.16417485,0.62887708
5.23333333,1.16075697,1.16075697,0.62665323
5.25000000,1.15735228,1.15735228,0.62443760
5.26666667,1.15396074,1.15396074,0.62223017
5.28333333,1.15058227,1.15058227,0.62003091
5.30000000,1.14721684,1.14721684,0.61783979
5.31666667,1.14386438,1.14386438,0.61565678
5.33333333,1.14052485,1.14052485,0.61348186
5.35000000,1.13719818,1.13719818,0.61131498
5.36666667,1.13388433,1.13388433,0.60915614
5.38333333,1.13058325,1.13058325,0.60700529
5.40000000,1.12729488,1.12729488,0.60486241
5.41666667,1.12401917,1.12401917,0.60272747
5.43333333,1.12075606,1.12075606,0.60060045
5.45000000,1.11750551,1.11750551,0.59848130
5.46666667,1.11426747,1.11426747,0.59637002
5.48333333,1.11104188,1.11104188,0.59426656
5.50000000,1.10782870,1.10782870,0.59217090
5.51666667,1.10462787,1.10462787,0.59008301
5.53333333,1.10143934,1.10143934,0.58800287
5.55000000,1.09826307,1.09826307,0.58593045
5.56666667,1.09509901,1.09509901,0.58386571
5.58333333,1.09194710,1.09194710,0.58180863
5.60000000,1.08880729,1.08880729,0.57975918
5.61666667,1.08567955,1.08567955,0.57771735
5.63333333,1.08256381,1.08256381,0.57568308
5.65000000,1.07946003,1.07946003,0.57365637
5.66666667,1.07636817,1.07636817,0.57163719
5.68333333,1.07328818,1.07328818,0.56962549
5.70000000,1.07022000,1.07022000,0.56762127
5.71666667,1.06716359,1.06716359,0.56562449
5.73333333,1.06411891,1.06411891,0.56363512
5.75000000,1.06108591,1.06108591,0.56165314
5.76666667,1.05806454,1.05806454,0.55967852
5.78333333,1.05505475,1.05505475,0.55771123
5.80000000,1.05205650,1.05205650,0.55575125
5.81666667,1.04906975,1.04906975,0.55379855
5.83333333,1.04609444,1.04609444,0.55185310
5.85000000,1.04313053,1.04313053,0.54991488
5.86666667,1.04017799,1.04017799,0.54798386
5.88333333,1.03723675,1.03723675,0.54606001
5.90000000,1.03430678,1.03430678,0.54414331
5.91666667,1.03138804,1.03138804,0.54223374
5.93333333,1.02848048,1.02848048,0.54033125
5.95000000,1.02558405,1.02558405,0.53843584
5.96666667,1.02269871,1.02269871,0.53654747
5.98333333,1.01982442,1.01982442,0.53466612
6.00000000,1.01696113,1.01696113,0.53279176
6.01666667,1.01410880,1.01410880,0.53092436
6.03333333,1.01126739,1.01126739,0.52906391
6.05000000,1.00843686,1.00843686,0.52721037
6.06666667,1.00561716,1.00561716,0.52536372
6.08333333,1.00280825,1.00280825,0.52352393
6.10000000,1.00001008,1.00001008,0.52169098
6.11666667,0.99722262,0.99722262,0.51986484
6.13333333,0.99444583,0.99444583,0.51804549
6.15000000,0.99167966,0.99167966,0.51623291
6.16666667,0.98892406,0.98892406,0.51442706
6.18333333,0.98617901,0.98617901,0.51262792
6.20000000,0.98344445,0.98344445,0.51083548
6.21666667,0.98072036,0.98072036,0.50904969
6.23333333,0.97800667,0.97800667,0.50727055
6.25000000,0.97530337,0.97530337,0.50549802
6.26666667,0.97261039,0.97261039,0.50373207
6.28333333,0.96992772,0.96992772,0.50197270
6.30000000,0.96725529,0.96725529,0.50021986
6.31666667,0.96459309,0.96459309,0.49847354
6.33333333,0.96194105,0.96194105,0.49673372
6.35000000,0.95929916,0.95929916,0.49500036
6.36666667,0.95666735,0.95666735,0.49327345
6.38333333,0.95404561,0.95404561,0.49155295
6.40000000,0.95143388,0.95143388,0.48983886
6.41666667,0.94883213,0.94883213,0.48813113
6.43333333,0.94624032,0.94624032,0.48642976
6.45000000,0.94365842,0.94365842,0.48473471
6.46666667,0.94108637,0.94108637,0.48304597
6.48333333,0.93852415,0.93852415,0.48136350
6.50000000,0.93597172,0.93597172,0.47968729
6.51666667,0.93342903,0.93342903,0.47801731
6.53333333,0.93089606,0.93089606,0.47635354
6.55000000,0.92837276,0.92837276,0.47469596
6.56666667,0.92585909,0.92585909,0.47304454
6.58333333,0.92335502,0.92335502,0.47139926
6.60000000,0.92086052,0.92086052,0.46976010
6.61666667,0.91837553,0.91837553,0.46812704
6.63333333,0.91590004,0.91590004,0.46650004
6.65000000,0.91343399,0.91343399,0.46487910
6.66666667,0.91097736,0.91097736,0.46326418
6.68333333,0.90853011,0.90853011,0.46165527
6.70000000,0.90609219,0.90609219,0.46005234
6.71666667,0.90366358,0.90366358,0.45845537
6.73333333,0.90124424,0.90124424,0.45686434
6.75000000,0.89883414,0.89883414,0.45527923
6.76666667,0.89643322,0.89643322,0.45370001
6.78333333,0.89404148,0.89404148,0.45212666
6.80000000,0.89165885,0.89165885,0.45055917
6.81666667,0.88928532,0.88928532,0.44899750
6.83333333,0.88692084,0.88692084,0.44744164
6.85000000,0.88456539,0.88456539,0.44589157
6.86666667,0.88221892,0.88221892,0.44434726
6.88333333,0.87988140,0.87988140,0.44280869
6.90000000,0.87755279,0.87755279,0.44127584
6.91666667,0.87523307,0.87523307,0.43974870
6.93333333,0.87292220,0.87292220,0.43822723
6.95000000,0.87062014,0.87062014,0.43671142
6.96666667,0.86832685,0.86832685,0.43520125
6.98333333,0.86604232,0.86604232,0.43369670
7.00000000,0.86376649,0.86376649,0.43219774
7.01666667,0.86149934,0.86149934,0.43070436
7.03333333,0.85924084,0.85924084,0.42921653
7.05000000,0.85699094,0.85699094,0.42773423
7.06666667,0.85474963,0.85474963,0.42625745
7.08333333,0.85251686,0.85251686,0.42478616
7.10000000,0.85029260,0.85029260,0.42332034
7.11666667,0.84807681,0.84807681,0.42185997
7.13333333,0.84586948,0.84586948,0.42040504
7.15000000,0.84367055,0.84367055,0.41895551
7.16666667,0.84148001,0.84148001,0.41751138
7.18333333,0.83929781,0.83929781,0.41607262
7.20000000,0.83712393,0.83712393,0.41463922
7.21666667,0.83495833,0.83495833,0.41321114
7.23333333,0.83280099,0.83280099,0.41178838
7.25000000,0.83065186,0.83065186,0.41037091
7.26666667,0.82851092,0.82851092,0.40895871
7.28333333,0.82637814,0.82637814,0.40755177
7.30000000,0.82425348,0.82425348,0.40615006
7.31666667,0.82213691,0.82213691,0.40475357
7.33333333,0.82002841,0.82002841,0.40336227
7.35000000,0.81792794,0.81792794,0.40197615
7.36666667,0.81583546,0.81583546,0.40059519
7.38333333,0.81375095,0.81375095,0.39921936
7.40000000,0.81167439,0.81167439,0.39784866
7.41666667,0.80960572,0.80960572,0.39648306
7.43333333,0.80754494,0.80754494,0.39512253
7.45000000,0.80549200,0.80549200,0.39376708
7.46666667,0.80344687,0.80344687,0.39241666
7.48333333,0.80140954,0.80140954,0.39107128
7.50000000,0.79937995,0.79937995,0.38973090
7.51666667,0.79735809,0.79735809,0.38839551
7.53333333,0.79534393,0.79534393,0.38706509
7.55000000,0.79333743,0.79333743,0.38573962
7.56666667,0.79133856,0.79133856,0.38441909
7.58333333,0.78934730,0.78934730,0.38310347
7.60000000,0.78736362,0.78736362,0.38179276
7.61666667,0.78538749,0.78538749,0.38048692
7.63333333,0.78341887,0.78341887,0.37918594
7.65000000,0.78145774,0.78145774,0.37788981
7.66666667,0.77950407,0.77950407,0.37659851
7.68333333,0.77755783,0.77755783,0.37531202
7.70000000,0.77561900,0.77561900,0.37403032
7.71666667,0.77368753,0.77368753,0.37275339
7.73333333,0.77176341,0.77176341,0.37148122
7.75000000,0.76984661,0.76984661,0.37021379
7.76666667,0.76793710,0.76793710,0.36895108
7.78333333,0.76603484,0.76603484,0.36769307
7.80000000,0.76413981,0.76413981,0.36643976
7.81666667,0.76225199,0.76225199,0.36519111
7.83333333,0.76037135,0.76037135,0.36394712
7.85000000,0.75849785,0.75849785,0.36270776
7.86666667,0.75663147,0.75663147,0.36147303
7.88333333,0.75477218,0.75477218,0.36024289
7.90000000,0.75291995,0.75291995,0.35901735
7.91666667,0.75107477,0.75107477,0.35779637
7.93333333,0.74923659,0.74923659,0.35657995
7.95000000,0.74740539,0.74740539,0.35536806
7.96666667,0.74558115,0.74558115,0.35416069
7.98333333,0.74376384,0.74376384,0.35295782
8.00000000,0.74195343,0.74195343,0.35175945
8.01666667,0.74014989,0.74014989,0.35056554
8.03333333,0.73835320,0.73835320,0.34937609
8.05000000,0.73656333,0.73656333,0.34819107
8.06666667,0.73478026,0.73478026,0.34701048
8.08333333,0.73300395,0.73300395,0.34583430
8.10000000,0.73123438,0.73123438,0.34466251
8.11666667,0.72947153,0.72947153,0.34349509
8.13333333,0.72771537,0.72771537,0.34233203
8.15000000,0.72596587,0.72596587,0.34117331
8.16666667,0.72422301,0.72422301,0.34001892
8.18333333,0.72248676,0.72248676,0.33886885
8.20000000,0.72075710,0.72075710,0.33772307
8.21666667,0.71903399,0.71903399,0.33658157
8.23333333,0.71731742,0.71731742,0.33544434
8.25000000,0.71560736,0.71560736,0.33431135
8.26666667,0.71390378,0.71390378,0.33318261
8.28333333,0.71220666,0.71220666,0.33205808
8.30000000,0.71051597,0.71051597,0.33093776
8.31666667,0.70883169,0.70883169,0.32982162
8.33333333,0.70715379,0.70715379,0.32870967
8.35000000,0.70548225,0.70548225,0.32760187
8.36666667,0.70381704,0.70381704,0.32649822
8.38333333,0.70215814,0.70215814,0.32539869
8.40000000,0.70050553,0.70050553,0.32430329
8.41666667,0.69885917,0.69885917,0.32321198
8.43333333,0.69721905,0.69721905,0.32212476
8.45000000,0.69558513,0.69558513,0.32104162
8.46666667,0.69395741,0.69395741,0.31996253
8.48333333,0.69233584,0.69233584,0.31888748
8.50000000,0.69072042,0.69072042,0.31781646
8.51666667,0.68911110,0.68911110,0.31674945
8.53333333,0.68750788,0.68750788,0.31568645
8.55000000,0.68591072,0.68591072,0.31462743
8.56666667,0.68431960,0.68431960,0.31357238
8.58333333,0.68273450,0.68273450,0.31252129
8.60000000,0.68115540,0.68115540,0.31147415
8.61666667,0.67958227,0.67958227,0.31043093
8.63333333,0.67801508,0.67801508,0.30939163
8.65000000,0.67645382,0.67645382,0.30835623
8.66666667,0.67489846,0.67489846,0.30732473
8.68333333,0.67334898,0.67334898,0.30629709
8.70000000,0.67180535,0.67180535,0.30527332
8.71666667,0.67026756,0.67026756,0.30425339
8.73333333,0.66873557,0.66873557,0.30323730
8.75000000,0.66720938,0.66720938,0.30222503
8.76666667,0.66568894,0.66568894,0.30121656
8.78333333,0.66417425,0.66417425,0.30021190
8.80000000,0.66266527,0.66266527,0.29921101
8.81666667,0.66116199,0.66116199,0.29821388
8.83333333,0.65966439,0.65966439,0.29722052
8.85000000,0.65817243,0.65817243,0.29623089
8.86666667,0.65668611,0.65668611,0.29524499
8.88333333,0.65520539,0.65520539,0.29426281
8.90000000,0.65373026,0.65373026,0.29328433
8.91666667,0.65226069,0.65226069,0.29230954
8.93333333,0.65079666,0.65079666,0.29133843
8.95000000,0.64933815,0.64933815,0.29037098
8.96666667,0.64788513,0.64788513,0.28940718
8.98333333,0.64643760,0.64643760,0.28844702
9.00000000,0.64499551,0.64499551,0.28749049
9.01666667,0.64355886,0.64355886,0.28653757
9.03333333,0.64212762,0.64212762,0.28558825
9.05000000,0.64070178,0.64070178,0.28464253
9.06666667,0.63928130,0.63928130,0.28370037
9.08333333,0.63786616,0.63786616,0.28276179
9.10000000,0.63645636,0.63645636,0.28182675
9.11666667,0.63505186,0.63505186,0.28089525
9.13333333,0.63365264,0.63365264,0.27996729
9.15000000,0.63225869,0.63225869,0.27904283
9.16666667,0.63086998,0.63086998,0.27812189
9.18333333,0.62948649,0.62948649,0.27720443
9.20000000,0.62810820,0.62810820,0.27629045
9.21666667,0.62673510,0.62673510,0.27537994
9.23333333,0.62536715,0.62536715,0.27447289
9.25000000,0.62400435,0.62400435,0.27356929
9.26666667,0.62264666,0.62264666,0.27266911
9.28333333,0.62129408,0.62129408,0.27177236
9.30000000,0.61994657,0.61994657,0.27087901
9.31666667,0.61860413,0.61860413,0.26998907
9.33333333,0.61726672,0.61726672,0.26910251
9.35000000,0.61593433,0.61593433,0.26821933
9.36666667,0.61460694,0.61460694,0.26733951
9.38333333,0.61328453,0.61328453,0.26646304
9.40000000,0.61196708,0.61196708,0.26558992
9.41666667,0.61065457,0.61065457,0.26472012
9.43333333,0.60934698,0.60934698,0.26385365
9.45000000,0.60804429,0.60804429,0.26299048
9.46666667,0.60674648,0.60674648,0.26213061
9.48333333,0.60545354,0.60545354,0.26127403
9.50000000,0.60416544,0.60416544,0.26042072
9.51666667,0.60288216,0.60288216,0.25957068
9.53333333,0.60160368,0.60160368,0.25872388
9.55000000,0.60032999,0.60032999,0.25788033
9.56666667,0.59906107,0.59906107,0.25704002
9.58333333,0.59779690,0.59779690,0.25620292
9.60000000,0.59653745,0.59653745,0.25536904
9.61666667,0.59528271,0.59528271,0.25453835
9.63333333,0.59403267,0.59403267,0.25371086
9.65000000,0.59278730,0.59278730,0.25288654
9.66666667,0.59154658,0.59154658,0.25206539
